#datatype,measurement,time,double
#group,false,false,false
#default,,,
,_measurement,UNIX,TA
,ExposedTemp,1692083160000000000,63.7
,ExposedTemp,1692083280000000000,63.7
,ExposedTemp,1692083400000000000,63.9
,ExposedTemp,1692083520000000000,64.1
,ExposedTemp,1692083640000000000,64.1
,ExposedTemp,1692083760000000000,64.1
,ExposedTemp,1692083880000000000,64
,ExposedTemp,1692084000000000000,64
,ExposedTemp,1692084120000000000,64
,ExposedTemp,1692084240000000000,64.2
,ExposedTemp,1692084360000000000,64.3
,ExposedTemp,1692084480000000000,64.2
,ExposedTemp,1692084600000000000,64.1
,ExposedTemp,1692084720000000000,63.8
,ExposedTemp,1692084840000000000,63.7
,ExposedTemp,1692084960000000000,63.4
,ExposedTemp,1692085080000000000,63.2
,ExposedTemp,1692085200000000000,63.1
,ExposedTemp,1692085320000000000,63
,ExposedTemp,1692085440000000000,63
,ExposedTemp,1692085560000000000,63
,ExposedTemp,1692085680000000000,63
,ExposedTemp,1692085800000000000,63.1
,ExposedTemp,1692085920000000000,63.1
,ExposedTemp,1692086040000000000,63.2
,ExposedTemp,1692086160000000000,63.2
,ExposedTemp,1692086280000000000,63.2
,ExposedTemp,1692086400000000000,63.1
,ExposedTemp,1692086520000000000,63
,ExposedTemp,1692086640000000000,63
,ExposedTemp,1692086760000000000,63.1
,ExposedTemp,1692086880000000000,63.1
,ExposedTemp,1692087000000000000,63.1
,ExposedTemp,1692087120000000000,63
,ExposedTemp,1692087240000000000,62.9
,ExposedTemp,1692087360000000000,63
,ExposedTemp,1692087480000000000,63
,ExposedTemp,1692087600000000000,62.9
,ExposedTemp,1692087720000000000,63
,ExposedTemp,1692087840000000000,63
,ExposedTemp,1692087960000000000,63.2
,ExposedTemp,1692088080000000000,63.3
,ExposedTemp,1692088200000000000,63.6
,ExposedTemp,1692088320000000000,63.7
,ExposedTemp,1692088440000000000,63.8
,ExposedTemp,1692088560000000000,63.6
,ExposedTemp,1692088680000000000,63.5
,ExposedTemp,1692088800000000000,63.6
,ExposedTemp,1692088920000000000,63.7
,ExposedTemp,1692089040000000000,63.8
,ExposedTemp,1692089160000000000,63.8
,ExposedTemp,1692089280000000000,63.8
,ExposedTemp,1692089400000000000,63.7
,ExposedTemp,1692089520000000000,63.7
,ExposedTemp,1692089640000000000,63.8
,ExposedTemp,1692089760000000000,63.8
,ExposedTemp,1692089880000000000,63.7
,ExposedTemp,1692090000000000000,63.8
,ExposedTemp,1692090120000000000,63.8
,ExposedTemp,1692090240000000000,63.9
,ExposedTemp,1692090360000000000,63.8
,ExposedTemp,1692090480000000000,63.7
,ExposedTemp,1692090600000000000,63.6
,ExposedTemp,1692090720000000000,63.6
,ExposedTemp,1692090840000000000,63.6
,ExposedTemp,1692090960000000000,63.6
,ExposedTemp,1692091080000000000,63.7
,ExposedTemp,1692091200000000000,63.9
,ExposedTemp,1692091320000000000,63.9
,ExposedTemp,1692091440000000000,63.9
,ExposedTemp,1692091560000000000,64.1
,ExposedTemp,1692091680000000000,64
,ExposedTemp,1692091800000000000,63.8
,ExposedTemp,1692091920000000000,63.8
,ExposedTemp,1692092040000000000,63.8
